id,tenant_id,session_id,student_profile_id,status,remarks
71129333-3b49-5ec9-ab6c-d934aee9d7af,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,beae6a5c-0ecb-599f-b1bb-ec9fce8148a9,PRESENT,
0d3e8d88-7668-59b2-a986-b418efb6770b,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,eb6c90ce-a241-563d-996c-819a9aa6176e,EXCUSED,Kegiatan sekolah
1c207757-4b2d-5a51-851f-0092417e6b67,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,76586480-719f-5de3-9ab5-1c9fc34c3eee,PRESENT,
75084a79-b027-5c90-bdb1-27aba7d7ce97,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,b6aacb40-729e-5889-b3f8-2a12fb628b82,ABSENT,
7f1803b4-efc3-5c04-ab11-70a996fd7293,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,e0faea19-d2b1-58a6-a6ff-7ce6f98a7d9a,PRESENT,
339ad36c-3b92-5e03-b429-e7bd12e8146a,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,6db5ddf4-04c5-5a20-9fb0-baaf5a73f749,PRESENT,
2e741310-9026-579a-81a2-29b2852e943e,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,081beda9-7df2-5f05-afce-a38d0c251d69,PRESENT,
ea29c029-98a9-5b57-980f-c1cd3c8608b3,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,123324c5-f224-571c-af58-ab32feffa53e,PRESENT,
d9a56fe4-7c11-56d6-84a1-6ee1cca9df20,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,60e23548-e040-57aa-b9a2-598fba6ca898,PRESENT,
f4292ac0-2e28-581a-89c3-73b720e374ad,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,ba8e7472-67c7-5992-9ccf-67e87f2ba8ef,PRESENT,
401fc9f0-5707-5420-863f-a8f2c623325a,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,e788007e-df24-5904-ac34-39da168cabe9,PRESENT,
43d3dfd4-07e3-5900-9f9b-1f60a8fd1fb9,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,02d9b6c9-228e-5cc2-aaf8-cd4ce20e1313,PRESENT,
787662b7-82e0-5406-a0ee-1934afb2bd82,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,c2482920-1ed4-5bf4-825c-54d2ad8ec6d3,PRESENT,
d8e5089d-6565-5865-a1bd-9d44ebb8182a,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,7164a791-2b82-59bc-80a8-17a88d36ac62,PRESENT,
8f0653c5-02ea-5a75-90e1-4ea7f2cbccf6,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,d8741d84-5a67-51ea-92df-6eb27a358a4f,PRESENT,
7740c965-6b75-5786-bc99-537e6da9dbf3,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,53e55bdd-efd2-5e03-a01f-82b7098cd8a1,PRESENT,
9f212c94-3a63-53bc-bcc3-2fb949b1c4d3,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,d426d2ad-f065-5360-9927-c2451db9b689,PRESENT,
4d74b6fc-8ede-5c77-902b-de11e2c22f17,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,e19f49e8-e099-5c5a-96de-cd844a93d2a9,PRESENT,
6f4412fe-8662-57fa-8a1a-64bebaaef028,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,e38cf2bf-897a-5e3c-b78e-824d70ec5900,PRESENT,
f74b3682-3dca-51f7-80dc-243b6c83924b,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,8e5132d7-3d81-5862-b66d-48c323ab8907,PRESENT,
c7a1cf87-fd97-5f40-9821-68b9d7369a07,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,16c00cef-4993-53cd-b1d9-3b3da4f9f726,PRESENT,
f57e3b40-aa79-5506-bb6b-53e1bc2a31f3,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,9bf1be8e-bb75-5441-a0ce-d8ead1ae05c3,EXCUSED,Izin keluarga
8460f923-3b8a-54ed-8cf7-cc3732fce066,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,b07469ac-ed37-5009-bb1c-656cc60e6f31,PRESENT,
a6362fd4-4066-5125-91d0-6c3757fd6946,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,cca2b142-364f-52ee-b83a-34b665025433,PRESENT,
90d821a0-89e1-5fa0-b4ce-1d867a39980d,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,e209c4a5-8ac3-51dc-86e7-54ef5dc4cda1,PRESENT,
bbb05117-ece9-5e0b-a7fd-d2ca922780e9,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,598985c5-f3d4-5818-83a4-6e0500b44dbc,PRESENT,
76dcc629-7e0e-516a-864f-b2d1745e9437,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,7e498419-eb00-558b-b6f7-9f872e3e3917,PRESENT,
5ee53431-48fe-5068-80dc-e8999f748f01,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,ef25e751-34fa-50c4-b88f-25ea1fd3acce,PRESENT,
4320252b-57d3-57e5-8e63-5df3a1962d33,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,87bedfb0-3916-584a-81ea-5fd566e03b39,PRESENT,
56faa4f2-5ab3-5a50-ab68-8762e044037c,ba6e3b18-bccb-5149-adae-530286c8bd10,3fedbc25-ed78-59ef-b400-67237a91acd5,f1cd3d8d-e807-50da-a966-7bcb5d86bc4d,EXCUSED,Izin keluarga
