id,tenant_id,teacher_subject_id,academic_period_id,assessment_type_id,weight
23c0dd51-a4c5-50b2-875d-694235b3d05a,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,20
a49e1082-5822-5675-9aef-def2e78f19fe,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,30
9d11caad-096f-5218-ac57-d807ae520d6a,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,f1647786-a0cb-5378-99b1-bd4f23e9575f,25
3755f6ec-4d4a-57c6-b5af-00064841660c,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,6068849c-6bf8-5d1f-b9ef-bdcdb71e131b,25
dec02fbd-d918-5236-b517-10dbb5866e12,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,95302cff-330c-5296-8fb8-18dc020c81b5,20
6a14de38-86b0-57bb-9316-631adbd4e135,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,a5b229e1-239d-5810-a028-4b59d3fb9234,30
eda0349b-291a-5865-81b6-55fa5ec1acec,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,f1647786-a0cb-5378-99b1-bd4f23e9575f,25
cc5f6cca-48d9-58b4-a7fa-65776bfa28ea,ba6e3b18-bccb-5149-adae-530286c8bd10,2756cb9d-1ca6-5858-8e9f-96162c8f37a1,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,6068849c-6bf8-5d1f-b9ef-bdcdb71e131b,25
22aa654a-73e3-50a4-92b3-d43808daff7b,ba6e3b18-bccb-5149-adae-530286c8bd10,aeb5ec83-94e5-5cc1-83d5-e756814e525f,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,20
591e2b34-feda-5c0e-8adf-9e37b5482e7c,ba6e3b18-bccb-5149-adae-530286c8bd10,aeb5ec83-94e5-5cc1-83d5-e756814e525f,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,30
