id,tenant_id,class_subject_id,academic_period_id,assessment_type_id,name,weight
415c72fc-e3a7-5482-ae5a-cfe52ed50174,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 1,0
d245a365-57e7-56ef-9330-60c3db5454be,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 2,0
63dab0e1-f3ca-5896-a3df-2e532cd2db6d,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 1,0
53e65542-3900-5683-ba4c-b008abc0d7f7,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 2,0
75a45554-4bd2-5824-91fa-781fbf861c4b,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,f1647786-a0cb-5378-99b1-bd4f23e9575f,UTS,0
c8261367-74d7-5aaf-ab42-708f81fdb2d9,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,6068849c-6bf8-5d1f-b9ef-bdcdb71e131b,UAS,0
d8cdfd69-1d75-5af9-9ab4-4f6722d801a7,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 1,0
c38341e4-166c-51fb-8213-f5be3e2f0478,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 2,0
c889fd01-aa3e-55c2-b920-c85703d88041,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 1,0
01cfda50-5d21-5c80-b63d-6ef9aca87d3e,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 2,0
4467f6ff-1aa8-5e30-9e0f-bc162499dc5b,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,f1647786-a0cb-5378-99b1-bd4f23e9575f,UTS,0
f224494c-d79c-58aa-ada2-1b32e6c029da,ba6e3b18-bccb-5149-adae-530286c8bd10,9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,6068849c-6bf8-5d1f-b9ef-bdcdb71e131b,UAS,0
f9f55a15-8ea0-5ae4-a375-adc4986b1e2b,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 1,0
504bd855-091e-5cbb-999e-3191933ebf2f,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 2,0
8fa0e41c-a4bb-58af-a4ec-d8506e0ade60,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 1,0
76fdf5b4-1bc3-5fae-ba85-de75d1c4fbd0,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 2,0
aad11753-b110-5706-a3ff-912ff4fc402f,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,f1647786-a0cb-5378-99b1-bd4f23e9575f,UTS,0
07bbde96-7623-5efd-bc78-c7a5715d2e92,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,4acc22e2-8ad7-5219-955c-3b1e99ea61ec,6068849c-6bf8-5d1f-b9ef-bdcdb71e131b,UAS,0
ffbf28f4-8d28-54b8-814f-2d2400504ed4,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 1,0
9b20350a-ce7a-50e3-8cc4-700e737e073a,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,95302cff-330c-5296-8fb8-18dc020c81b5,Kuis 2,0
6e88e431-7339-547d-b9fc-a9cccbb2abbf,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 1,0
772cc5ed-26d4-5616-8abb-eec191ca35e2,ba6e3b18-bccb-5149-adae-530286c8bd10,88c0f758-067b-5839-a1d6-944c3f0b7dae,ba99bb29-56fc-512c-b0da-8b49ebcfa90e,a5b229e1-239d-5810-a028-4b59d3fb9234,Tugas 2,0
