id,tenant_id,class_id,student_profile_id,start_date,end_date
fc1427ba-c344-563e-b861-acf563995ce9,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,c202511b-f03a-5424-b9fb-f82bdc128c5e,2023-07-01T00:00:00,2024-06-30T00:00:00
15bd1c96-e77e-5670-ba75-c64ea47da6dd,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,5fb3c277-867f-5ca3-a72f-861b01da4e49,2023-07-01T00:00:00,2024-06-30T00:00:00
c3901290-db97-5d0b-87e7-57da2e3b7fa7,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,990377e3-3c2a-5280-ad05-44ef002c7dde,2023-07-01T00:00:00,2024-06-30T00:00:00
6e020904-1464-59a7-aa72-c59469f01838,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,8c877e42-9615-59c6-b2ef-cf2544678f06,2023-07-01T00:00:00,2024-06-30T00:00:00
1b667c5c-b6cb-5f6d-a2bb-e8b2ad2d0816,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,4bdaa8bb-51d0-5a9c-b17e-7c9b414310b1,2023-07-01T00:00:00,2024-06-30T00:00:00
3ebf0c94-a21a-50bd-aa70-548107b4df17,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,ea96231e-9eea-54a5-8d96-898ef6bebaf4,2023-07-01T00:00:00,2024-06-30T00:00:00
088f59aa-c2b6-59fd-b329-470905df1307,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,9147d68b-ed1c-50d6-a3fb-56a776a804e3,2023-07-01T00:00:00,2024-06-30T00:00:00
e8154070-dd7f-53f1-9a8b-f95b2e9f67c6,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f88732c0-9c22-570a-b30b-6df411acfe41,2023-07-01T00:00:00,2024-06-30T00:00:00
957c19ca-2039-5d26-848c-bde8efd72444,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,a0ecb586-a100-527d-ab48-16be69707614,2023-07-01T00:00:00,2024-06-30T00:00:00
333902d9-358e-5647-a5fe-79df2186a155,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,de4b9225-7932-5141-b24f-8e0c8003abec,2023-07-01T00:00:00,2024-06-30T00:00:00
dcf346cc-864b-5cbd-9381-defdc9f1ef17,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,e12dfb0c-5669-5dd2-8c5d-572fbd8baeb1,2023-07-01T00:00:00,2024-06-30T00:00:00
9f30a9b4-ecd3-5c8b-a853-fd67dc7bf3c9,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,5ab5f894-fb80-5d67-a324-01dc43f6cf9a,2023-07-01T00:00:00,2024-06-30T00:00:00
20b27eae-1a21-556d-bb30-8b3aef9387d0,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,9b4ac7d7-1456-5522-8bdc-ae934518af2c,2023-07-01T00:00:00,2024-06-30T00:00:00
480e9024-564e-55ff-8cfc-95bf792b6f56,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,a1a72d17-7dd5-5f8c-9e57-a1be631e1902,2023-07-01T00:00:00,2024-06-30T00:00:00
c7613afc-de7f-5d64-b566-df61b839de21,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,fd10641d-6d0c-55a4-aaa4-e269de7dde30,2023-07-01T00:00:00,2024-06-30T00:00:00
1782afbe-4279-529e-9e77-6f92806480f8,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,847c7de2-42c1-5a55-b0af-b87793843a1f,2023-07-01T00:00:00,2024-06-30T00:00:00
89d716ff-d753-5907-a708-9a570aea2633,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,a929d08c-6197-501f-99f7-e85ccdeb018f,2023-07-01T00:00:00,2024-06-30T00:00:00
f20c8160-5bd3-5f47-9ab5-05de91eb4b60,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,d84614dc-bb80-57aa-a932-4e490060bf20,2023-07-01T00:00:00,2024-06-30T00:00:00
0dafe7e7-631e-57d6-b375-8df5ce27f344,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,96b40cb3-fec5-5a96-bbb6-6f413caca70d,2023-07-01T00:00:00,2024-06-30T00:00:00
