id,tenant_id,class_id,academic_year_id,subject_id,teacher_profile_id,is_deleted,deleted_at
9d359976-8aa5-5dd2-9d42-6edacb6c9138,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,d057220b-e94d-5bd8-b874-95f3629d9b74,640fa149-5996-5bae-a476-508d42fee539,false,
88c0f758-067b-5839-a1d6-944c3f0b7dae,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,da6f2fe7-c371-5900-8dc9-c33019a52992,b0202fb3-4ca2-5a4f-919b-3ccbf7f219d7,false,
5bea57e7-d907-50db-a843-84a82a117cb9,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,bb8e78e2-8d41-529a-a31c-a9fd8c374d6b,00c3af43-13d5-5c2c-8f75-e36d060383a7,false,
838ebba2-8649-5d97-8757-7ad2efd344f4,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,3e467514-5ee7-5952-8db1-b8dc8a82f8a8,971bdd6a-4506-526d-bd8e-9c87380e4e9b,false,
ea4f6005-81c8-541b-acc7-26c68abc1279,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,9997a700-8a3e-5f87-8fda-8f41db168c52,0230c193-200d-5bed-9ead-34842c6d18b4,false,
611acb37-f6ec-5da7-a69f-cea437c90abc,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,bcc13dfb-7319-55c7-ad90-3b058a43d34a,0e37cefe-e1fa-5ee7-a661-b1033d27e458,false,
eec32953-77fb-5a44-a869-5513bad862db,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,ac6b4f70-62c0-5d91-b20e-93cacd1a833b,e47aa9cc-a619-5ca7-9bb7-c85bf9b9938b,false,
cb4daf32-f845-53c2-90f0-49981b1baa81,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,65910519-c93f-5c5a-b535-6253a402e739,d8b7c21d-f8af-5c45-a828-90065b406bc1,false,
ae0335bd-ae1f-5f64-975a-eaf221b16dd4,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,aa8bdda9-11b9-5657-a1f4-031235cb0d0d,d0531f69-6a63-534d-abf9-201dd6a1e87e,false,
df2774c0-5e92-58ea-81a3-81ff7a82fd91,ba6e3b18-bccb-5149-adae-530286c8bd10,2d39074d-0f59-5241-96f0-4b603e44e9f0,f2f27eaa-0811-5703-8e39-d8d94c77e366,4155fd4c-28d7-5763-8798-87bcceed7402,7443ae89-0ec2-52af-8e13-7202ac374873,false,
